txn_date,txn_description,deposit_amount
21/04/2017,ACH/VEDANTA LTD/6658776                           ,354
02/06/2017,ACH/HCL TECHNOLOGIES LIM/000000000000000000000000 ,36
23/06/2017,ACH/TCS FINALDIV230617/C200513387IN30267934786175 ,220
27/06/2017,CMS/INFOSYS/FINAL DIV 17 13205896                 ,162.25
27/06/2017,ACH/NEROLAC DIV270617/KN00032117IN30267934786175  ,9
28/06/2017,ACH/ASIAN PAINTS DIV/AN00168672IN30267934786175   ,53.55
28/06/2017,ACH/RALLIS DIV280617/RA00036296IN30267934786175   ,18.75
30/06/2017,CMS/ICICI BANK/22ND DIVIDEND FY17                 ,25
03/07/2017,ACH/JSW STEEL LIMITED/15605134                    ,11
05/07/2017,ACH/HINDUSTAN UNILEVER L/14259175                 ,60
07/07/2017,ACH/APOLLO TYRES LTD/0072093                      ,15
10/07/2017,ACH/SUPREME INDUSTRIES L/SUP/FIN/2017/N28348      ,12
13/07/2017,"ACH/UPL Limited,/61551                            ",49
18/07/2017,ACH/Zee Entertainment En/90329                    ,22.5
19/07/2017,ACH/HERO MOTOCORP LTD/2676674                     ,30
19/07/2017,ACH/ULTRATECH CEMENT LTD/1666097                  ,30
20/07/2017,ACH/TCOFFEE DIV2072017/CO00062479IN30267934786175 ,14
24/07/2017,ACH/KOTAK MAHINDRA BANK/3120341                   ,1
24/07/2017,ACH/RELIANCE INDUSTRIES/176003104                 ,77
24/07/2017,ACH/BAJAJ AUTO LTD/2564168                        ,55
26/07/2017,ACH/BHARTI AIRTEL LIMITE/4639459                  ,25
26/07/2017,ACH/HDFC BANK LTD/9389398  00273915               ,198
27/07/2017,ACH/HDFC FINAL DIV 2016-/000000000000000000000000 ,105
27/07/2017,ACH/Info-Edge India Limi/13544                    ,1.5
27/07/2017,ACH/AXIS BANK LTD/4319098                         ,10
28/07/2017,ACH/EXIDE INDUSTRIES LIM/87318                    ,4
28/07/2017,ACH/BATA INDIA LTD. 2017/BP55481                  ,7
31/07/2017,ACH/ITC LIMITED/317577                            ,162
31/07/2017,ACH/SHOPPERS STOP LIMITE/1105940                  ,2
01/08/2017,CMS/TCS/INTERIM DIV17-18 01082017                 ,56
01/08/2017,ACH/CERA SANITARYWARE LI/000000000000000000000000 ,12
02/08/2017,ACH/Piramal Enterprises/93539                     ,21
02/08/2017,ACH/PVR LIMITED/1327643                           ,2
02/08/2017,ACH/SKF FINAL020817/SK00021582IN30267934786175    ,10
03/08/2017,CMS/BLUEDART/DIV 17 WARR NO.4960                  ,15
