txn_date,txn_description,deposit_amount
08/05/2020,ACH/BRITANNIA INDUSTRIES/1655197                  ,140
18/05/2020,ACH/BHARTI INFRATEL LTD/1347236                   ,90.2
19/05/2020,ACH/CRISIL LIMITED/5827233                        ,42
19/05/2020,ACH/PFIZER LIMITED/2680196                        ,640
28/05/2020,ACH/ACC LIMITED/198934                            ,98
28/05/2020,ACH/Ambuja Cements Limit/168937                   ,88.5
28/05/2020,ACH/TATA CONSUMER FRAC/TA00100848IN30267934786175 ,202.12
29/05/2020,ACH/HINDUSTAN UNILEVER L/00000000000016841192     ,799.61
30/05/2020,ACH/HINDUSTAN ZINC LTD/218036                     ,1683
