txn_date,txn_description,deposit_amount
20/06/2016,CMS/INFOSYS/FINAL DIV 16 11851473                 ,57
22/06/2016,ACH/STATE BANK OF INDIA/10164225 01126624         ,26
24/06/2016,ACH/TCSFINALDIV.240616/C200551815IN30267934786175 ,27
05/07/2016,ACH/HINDUSTAN UNILEVER L/13290791                 ,29
11/07/2016,CMS/ICICI BANK/21ST DIVIDEND FY16                 ,50
22/07/2016,ACH/WIPRO LIMITED/7768778                         ,4
25/07/2016,ACH/HDFC BANK LTD/9389398  00275831               ,114
25/07/2016,ACH/ITC LIMITED/312063                            ,196
02/08/2016,ACH/ITC LIMITED/51692                             ,125.24
02/08/2016,ACH/TCS 1STINTDIV2816/C200553285IN30267934786175  ,6.5
11/08/2016,ACH/TMOTORS-OS FDIV 16/EL00396068IN30267934786175 ,1
23/08/2016,ACH/BHARTI AIRTEL LIMITE/4162096                  ,34
30/08/2016,ACH/LARSEN AND TOUBRO LT/4797931                  ,36.5
16/09/2016,ACH/OIL AND NATURAL GAS/0000000000000000000000004 ,20
21/09/2016,ACH/Sun Pharmaceutical I/425963                   ,9
30/09/2016,ACH/NTPC LIMITED/23525347                         ,28
26/10/2016,CMS/INFOSYS/INT DIV16-17 12485834                 ,66
02/11/2016,ACH/TCS2NDINTDIV021116/C200547165IN30267934786175 ,19.5
05/11/2016,ACH/ASIAN PNT INTDIV16/AN00146203IN30267934786175 ,5.3
07/11/2016,ACH/HCL TECHNOLOGIES LIM/000000000000000000000000 ,12
09/11/2016,ACH/OIL AND NATURAL GAS/0000000000000000000000004 ,27
15/11/2016,ACH/HINDUSTAN UNILEVER L/13774444                 ,21
01/02/2017,ACH/TCS3RDINTDIV010217/C200555879IN30267934786175 ,39
09/02/2017,ACH/HCL TECHNOLOGIES LIM/000000000000000000000000 ,30
10/02/2017,ACH/WIPRO LTD/8084563                             ,18
13/02/2017,ACH/OIL AND NATURAL GAS/0000000000000000000000005 ,20
22/02/2017,ACH/NTPC LIMITED/24489239                         ,41.76
02/03/2017,ACH/POWERGRID CORP LTD/21529810                   ,24
20/03/2017,ACH/HDFC INTERIM DIV 201/000000000000000000000000 ,18
21/03/2017,ACH/COAL INDIA LTD/000000000000000000000000547125 ,506
27/03/2017,ACH/NTPC LIMITED/1527610                          ,16.93
31/03/2017,ACH/COAL INDIA LTD/000000000000000000000000565213 ,31
